"FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL,from,to"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.706141244809399,-0.6507786026812,1080,1110"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.722595437635234,-0.651842635094003,1110,1140"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.640627483084208,-0.592670836154231,1170,1200"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.660573544322984,-0.617030178497553,1140,1170"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.746547616910821,-0.697093275243728,1230,1260"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.628729459433853,-0.596830711926948,1200,1230"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.661072683614232,-0.610414382945033,1290,1320"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.674282072750172,-0.617826864143728,1260,1290"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.667918229174652,-0.636918391971125,1350,1380"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.695027495815681,-0.672635373324049,1320,1350"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.637324047223303,-0.544816776128416,1410,1440"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.782783822599793,-0.804178960111751,1380,1410"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.709263991943951,-0.669552394475328,1440,1470"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.732162647876597,-0.686748427056261,1470,1500"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.698763638122724,-0.609777132543801,1500,1530"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.640864883219415,-0.535160409552985,1530,1560"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.637835905091971,-0.496619736372687,1560,1590"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.628248974637706,-0.512679587736644,1590,1620"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.667637742216262,-0.544267377343517,1620,1650"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.700023816896838,-0.57094932323793,1650,1680"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.722921178379397,-0.625084918017232,1710,1740"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.721147832020332,-0.575081909764144,1680,1710"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.688084684769422,-0.503173399221598,1740,1770"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.694752237549253,-0.604333958132786,1770,1800"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.701937042845403,-0.6191782253681,1800,1830"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.606491886686823,-0.542543479291943,1830,1860"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.636569379888325,-0.524845119186492,1860,1890"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.604307772181001,-0.505773930551702,1890,1920"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.601600351004891,-0.470155876770766,1920,1950"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.555694526234101,-0.487361415389802,1950,1980"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.617749139793533,-0.52010079337822,1980,2010"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.592738856769226,-0.559059836759189,2010,2040"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.437263847336195,-0.450542786175032,2040,2070"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.556354838085353,-0.497816753817918,2070,2100"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.661673954087246,-0.585026686748794,2100,2130"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.703853067313582,-0.622534168356884,2130,2160"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.651744459987454,-0.558698657272075,2160,2190"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.729971461845528,-0.612147095063764,2190,2220"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.631518490114799,-0.484616957908022,2220,2250"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.683301104842401,-0.614963492428105,2250,2280"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.676938209317038,-0.60477342685595,2280,2310"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.67403559204023,-0.591545969446661,2310,2340"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.730307005226182,-0.619241992393612,2340,2370"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.702041841821783,-0.599592917289794,2370,2400"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.640380872432307,-0.564843520360289,2400,2430"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.617664730432872,-0.557227924137848,2430,2460"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.660317334647681,-0.54823991634035,2460,2490"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.692831017064269,-0.585423715202609,2490,2520"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.680000155340427,-0.562215099123639,2520,2550"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.69809438201533,-0.62317819523102,2550,2580"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.87013854659097,-0.855581340199576,2580,2610"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.517703205237578,-0.511531280038292,2610,2640"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.402688778389293,-0.509538300309001,2640,2670"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.707029125615301,-0.590206650813754,2670,2700"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.725378400124271,-0.620884414297648,2730,2760"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.693297236744181,-0.581551235687221,2700,2730"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.699658241029106,-0.580815245919556,2790,2820"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.752035641367435,-0.661263426536937,2760,2790"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.665241961675765,-0.364391464794977,2820,2850"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.695468279382543,-0.526701009487356,2850,2880"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.666055291360116,-0.552745046773208,2880,2910"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.66226015965407,-0.564604843200086,2910,2940"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.629453710892316,-0.076517973252259,2940,2970"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.674613861125607,-0.54657754546459,2970,3000"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.607422664545162,-0.439360473551927,3000,3030"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.663750439898973,-0.516980418063994,3030,3060"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.657751091217903,-0.525068831539521,3060,3090"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.616404933490969,-0.542142653567338,3090,3120"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.59972313802333,-0.518236569577748,3120,3150"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.65179146036576,-0.542510523641387,3150,3180"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.488630696386121,-0.330482742865513,3180,3210"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.2134293639187,-0.299462083348025,3210,3240"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.629116381584008,-0.592186820883708,3270,3300"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.481137577827864,-0.504616963202414,3240,3270"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.73933042701688,-0.651954593249797,3300,3330"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.711606863242695,-0.381163330387692,3330,3360"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.724442948945942,-0.645172503490627,3390,3420"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.707716606480153,-0.622754640460735,3360,3390"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,29.45,2,ndsi,1024,1000,2000,2000,11000,-0.504683972275831,-0.495864736024183,3450,3480"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_180000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.675938053438708,-0.635287391994669,3420,3450"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.714717768720272,-0.673265883769824,30,60"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.691203395852639,-0.625691319194117,0,30"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.633679384798166,-0.538170004705823,90,120"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.707521406995719,-0.614220563938377,60,90"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.564222721291663,-0.557856431504814,150,180"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.696330530666163,-0.631016412957567,120,150"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.579012472833288,-0.522020084053493,210,240"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.620941932677223,-0.53896932976337,180,210"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.451607387952468,-0.431491006384993,240,270"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.536602833506729,-0.457961966711864,270,300"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.612264590932957,-0.514193404655502,300,330"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.59315660532133,-0.505601227788562,330,360"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.660132510038868,-0.502084365802004,390,420"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.701085289057773,-0.606548821674707,360,390"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.531851279333857,-0.318635467235263,420,450"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.665267928754944,-0.563692995252011,450,480"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.692224085863133,-0.622395182474435,480,510"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.792771875072301,-0.734536031676571,510,540"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.793044043414205,-0.743215240287159,540,570"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.717246812670987,-0.680290294260309,570,600"
"]ILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,ANTHRO_MIN,ANTHRO_MAX,BIO_MIN,BIO_MAX,LEFT_CHANNEL,RIGHT_CHANNEL,from,to"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.595420052626523,-0.570765735520885,660,690"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.499424547102512,-0.492154848474702,690,720"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.715855821195516,-0.671269142560789,720,750"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.76100439011802,-0.685330109237454,750,780"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.695854256470144,-0.600869981607119,810,840"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.645820523612697,-0.633732999258646,780,810"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.793466792231585,-0.732501991674982,870,900"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.776652145182062,-0.699494896462692,840,870"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.790317816171423,-0.731030125565558,900,930"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.797832865467037,-0.750349501355531,930,960"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.740712795650828,-0.688367247625306,990,1020"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.718796005757577,-0.710740786931728,960,990"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.703143139430041,-0.696661503248039,1020,1050"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.717371186280798,-0.656883909981648,1050,1080"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.706141244809399,-0.6507786026812,1080,1110"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.722595437635234,-0.651842635094003,1110,1140"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.660573544322984,-0.617030178497553,1140,1170"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.640627483084208,-0.592670836154231,1170,1200"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.628729459433853,-0.596830711926948,1200,1230"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.746547616910821,-0.697093275243728,1230,1260"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.674282072750172,-0.617826864143728,1260,1290"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.661072683614232,-0.610414382945033,1290,1320"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.667918229174652,-0.636918391971125,1350,1380"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.695027495815681,-0.672635373324049,1320,1350"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.637324047223303,-0.544816776128416,1410,1440"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.782783822599793,-0.804178960111751,1380,1410"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.732162647876597,-0.686748427056261,1470,1500"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.709263991943951,-0.669552394475328,1440,1470"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.698763638122724,-0.609777132543801,1500,1530"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.640864883219415,-0.535160409552985,1530,1560"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.637835905091971,-0.496619736372687,1560,1590"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.628248974637706,-0.512679587736644,1590,1620"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.667637742216262,-0.544267377343517,1620,1650"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.700023816896838,-0.57094932323793,1650,1680"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.721147832020332,-0.575081909764144,1680,1710"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.722921178379397,-0.625084918017232,1710,1740"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.688084684769422,-0.503173399221598,1740,1770"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.694752237549253,-0.604333958132786,1770,1800"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.701937042845403,-0.6191782253681,1800,1830"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.606491886686823,-0.542543479291943,1830,1860"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.636569379888325,-0.524845119186492,1860,1890"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.604307772181001,-0.505773930551702,1890,1920"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.601600351004891,-0.470155876770766,1920,1950"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.555694526234101,-0.487361415389802,1950,1980"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.617749139793533,-0.52010079337822,1980,2010"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.592738856769226,-0.559059836759189,2010,2040"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.437263847336195,-0.450542786175032,2040,2070"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.556354838085353,-0.497816753817918,2070,2100"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.661673954087246,-0.585026686748794,2100,2130"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.703853067313582,-0.622534168356884,2130,2160"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.651744459987454,-0.558698657272075,2160,2190"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.729971461845528,-0.612147095063764,2190,2220"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.631518490114799,-0.484616957908022,2220,2250"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.683301104842401,-0.614963492428105,2250,2280"
"C:\\Users\\evan\\Desktop\\S4A04633_20180111_160000.wav,96000,16,30,2,ndsi,1024,1000,2000,2000,11000,-0.676938209317038,-0.60477342685595,2280,2310"
